"Attributes",,
,"Mental",
,,"Intelligence"
,,"Wits"
,,"Resolve"
,"Physical",
,,"Strength"
,,"Dexterity"
,,"Stamina"
,"Social",
,,"Presence"
,,"Manipulation"
,,"Composure"
"Skills",,
,"Mental",
,,"Academics"
,,"Computer"
,,"Crafts"
,,"Investigaton"
,,"Medicine"
,,"Occult"
,,"Politics"
,,"Science"
,,
,"Physical",
,,"Athletics"
,,"Brawl"
,,"Drive"
,,"Firearms"
,,"Larceny"
,,"Stealth"
,,"Survival"
,,"Weaponry"
,,
,"Social",
,,"Animal Ken"
,,"Empathy"
,,"Expression"
,,"Intimidation"
,,"Persuation"
,,"Socialize"
,,"Streetwise"
,,"Subterfuge"
